zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
47994,STANDARD,0,Wingate,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,40.17,-87.07,560
47995,STANDARD,0,Wolcott,,,IN,White County,America/Indiana/Indianapolis,"219, 765",NA,US,40.75,-87.04,1540
47996,PO BOX,0,West Lafayette,"Lafayette, W Lafayette",,IN,Tippecanoe County,America/Indiana/Indianapolis,765,NA,US,40.44,-86.91,404
47997,STANDARD,0,Yeoman,,,IN,Carroll County,America/Indiana/Indianapolis,574,NA,US,40.67,-86.72,94
48001,STANDARD,0,Algonac,"Clay, Pearl Beach, Russell Is, Russell Island","Clay Township, Clay Twp",MI,St. Clair County,America/Detroit,"226, 519, 548, 586, 810",NA,US,42.61,-82.53,10800
48002,STANDARD,0,Allenton,"Berlin, Berville","Berlin Township, Berlin Twp",MI,St. Clair County,America/Detroit,"586, 810",NA,US,42.92,-82.88,2980
48003,STANDARD,0,Almont,,Almont Township,MI,Lapeer County,America/Detroit,"586, 810",NA,US,42.92,-83.04,6340
48004,PO BOX,0,Anchorville,,,MI,St. Clair County,America/Detroit,586,NA,US,42.69,-82.69,142
48005,STANDARD,0,Armada,,Armada Township,MI,Macomb County,America/Detroit,"586, 810",NA,US,42.84,-82.88,5050
48006,STANDARD,0,Avoca,"Fargo, Greenwood, Kenockee","Greenwood Township, Kenockee Township",MI,St. Clair County,America/Detroit,810,NA,US,43.05,-82.67,3700
48007,PO BOX,0,Troy,,,MI,Oakland County,America/Detroit,248,NA,US,42.58,-83.14,0
48009,STANDARD,0,Birmingham,,Bham,MI,Oakland County,America/Detroit,"248, 947",NA,US,42.54,-83.21,19840
48012,PO BOX,0,Birmingham,,Bham,MI,Oakland County,America/Detroit,248,NA,US,42.54,-83.21,285
48014,STANDARD,0,Capac,Mussey,,MI,St. Clair County,America/Detroit,810,NA,US,43.01,-82.92,4050
48015,STANDARD,0,Center Line,,,MI,Macomb County,America/Detroit,586,NA,US,42.48,-83.02,6860
